Prompt,Value
"hi, how are you doing?",0
hello! i am wonderful and yourself?,0
i am doing well. what are you up to?,0
just got in from my garden. i was seeing if my carrots are ready to harvest.,0
i am having dinner at my apartment with my 3 sisters,0
that sounds like wonderful family time. most my family is not around.,0
oh do you have any close friends?,0
i am 71 and live in the countryside most my friends can not travel as well.,0
oh i see. do you enjoy country life?,0
"i do very much so, nice and quiet. are you in a city?",0
"yes, new york. i want to be a nurse here",0
that is a busy life there. how do you keep up with it all?,0
"it is not so busy, it is very fulfilling",0
i have never really had the need to travel there. heard many stories tho.,0
"do you like the beatles, they are my favorite",0
"i sure do, really enjoyed them back in my glory days.",0
"hello, i love jesus very much.",0
sweet. i think he watches over me as i have been driving the back roads forever.,0
have you seen any scary movies lately? i love getting scared!,0
"i do not like scary movies although, i was scared while attending college.",0
"oh wow, college, books are my thing!",0
"yeah, i was going to be a nurse and then i saw blood and changed my mind.",0
i am also learning about medicine. i love helping animals.,0
"i love animals. ironically, i became a professional shopper. it is a great job.",0
i am going to go pray to jesus now. this world is getting crazy.,0
it sure is a crazy world. i hope he answers your prayers. i will be driving.,0
whats your favorite book? mine is by shakespeare!,0
i lover anything stephen king. no scary movies but i love the books.,0
"gosh, i love animals so much, i am going to give them all big hugs!",0
you must be a professional animal cuddler.,0
hows it going. i am here petting my doggy,0
"good, sorry if i am slow i only have one arm.",0
like seriously or is this part of the scenario?,0
i was in a car accident and it got chopped off but i can still farm.,0
that is crazy. youre a strong willed man. lets take a walk in the woods,0
how did you know that i like to hike?,0
i did not. i was gonna pull an old yeller on you,0
lol do you have a dog?,0
i have many animals. i am an animal enthusiast. i do not watch tv though,0
i have one his name is alfie my 3 older siblings bought him for me.,0
lucky you. the closest thing i have to family are ted talks,0
do you mean you go to ted talks?,0
no i just listen to them haha. as background noise mostly,0
i like them also i have a friend who was on one.,0
"hello! tell me about yourself, i need something to write about",0
"hey there! well, i just started classes in college and work part time at the campus library",0
that sounds fun. what classes are you taking?,0
i am taking 2 science classes. i am wondering if i should just move on campus,0
that would not be horrible. i used to work in a book store on campus,0
"yes, well right now i have catch the bus. maybe i will do dorms next year",0
i liked my dorm in college. that is where i started my tea addiction.,0
we have been studying tea in one of my 3 science classes!,0
haha that is hilarious! learn anything i should know about?,0
"yeah, its not looking good for you my friend",0
oh no. what is so bad about it?,0
"it stains your teeth, and is generally unhealthy for you",0
well i can deal with stained teeth. how is it unhealthy?,0
"we are still studying it further, but it turns out as you said, it is addicting",0
yeah. that is very true. it also probably does not help that they have it in art museums,0
so what else do you enjoy?,0
hello how are you today,0
"hello i am doing well, how are you?",0
that is good! i am doing great thanks.,0
what are you up to today,0
gonna read enders game for the fifth time i love this book,0
"wow, five times! i have not read that. i am in med school",0
med school wow congrats. do you like sci fi,0
"thank you, both my parents are doctors. yes i do",0
you should check out this book you might like it too,0
"ok i will when i have time, i am studying a lot plus in the theatre",0
i understand school can be very time consuming. i joined the air force after graduation,0
"oh wow, good for you! that is admirable",0
yeah i got discharged after i got back from the war,0
"which one, the war going on right now?",0
hello! tell me a little about yourself,0
"hey there, well i am not very tall. you?",0
"haha, well height is not the only thing. i am a vegan! i care about the earth",0
my cheeks on my face are huge which makes my eyes pop.,0
oh wow! you sound like my cat jasper! he is the best.,0
i would like jasper. vegan is what i am currently reading about.,0
"well as a vegan barista, i can tell you there are health and planetary benefits!",0
i believe i am smart but i am not sure i can give up eggs and fish.,0
you sound smart! lots of people have trouble giving up eggs and fish.,0
was it hard for you?,0
"not too bad. i distracted myself with my favorite things the color orang, roses, etc.",0
awesome for you but i will stick with the fish and eggs for now.,0
"i understand. so you are smart, not very tall, and have big cheeks?",0
yeah and read. reading is what i do to relax.,0
hi there. i am a translator by trade.,0
"hey, how you doing? well, i am getting ready to go into college!",0
i speak three languages but its not what i want to do for a living.,0
whoa? three? that is awesome! what languages do you speak?,0
spanish german and cantonese. i really want to be a writer.,0
"well, me i know un peu francais a little french but that is about it",0
french is a beautiful language.,0
"wait, technically, you know four languages... if you count english.",0
indeed. which is the language i write in. my novel is almost done.,0
hey that is awesome! hope you find a publisher for it! or online,0
i quit my job to focus on finishing it. i am going to put it on amazon.,0
that is great! i hope it does really well. whats it about?,0
its about a boy who lives in the parks catacombs.,0
"oh neat, is it like a thriller or coming of age type story?",0
i meant to say paris. and its a thriller. he scares tourists out of their valuables.,0
"oh wow, that sounds interesting. yeah, i have heard about the catacombs, spooky place!",0
hi how are you today?,0
"awesome, i have an art class later, do you go to school?",0
"oh fun, i slept in today woohoo! i do not go to school",0
sounds great for you. i love school i am an artist,0
oh sounds fun. what do you do for fun?,0
i am a big fan of art. when i am not studying i check out museums,0
ohh. my two brothers are artistic.. not me though,0
"too bad. it is a great outlet, what do you do?",0
i play football for fun. i grow vegetables since i am a vegan,0
food is a kind of art,0
i guess you could say that lol. are you married,0
"no time for that yet. but maybe one day, you?",0
i have not met the one yet,0
when you do will the one need to be a vegan as well?,0
that would be nice. i am sure we will adapt if love at first sight happens though,0
well good luck. you have to put yourself out there though,0
"hello, how are you? i am doing well, just listening to classical music.",0
"hello, i am sarah, i am well, and you?",0
hi sarah. do you like to golf? its one of my fads.,0
"i am a 5th. grade teacher near oakville, ny, i hate golf",0
the law firm i work for just promoted me. they are a large one.,0
i do enjoy watching gold and tennis but not playing it,0
"are you married? i am, with three kids.",0
"nope, i really love to read and i love to relax a bit",0
i really love doing my work.,0
usually by the lake on the weekends,0
"cool, well have a good one. bye.",0
"i like goobers and popcorn with soda, do you?",0
hi names seth and i became a vegan,0
cool i try to pay attention to what i eat also.,0
yeah same here. my smartphones ring a lot. for work and personal i have two,0
what is your favorite food? mine is veggie pizza.,0
i enjoy greek vegan penne while watching pretty woman,0
good movie! i love italian food.,0
yeah?! what do you like on your italian food. i work as a registered nurse,0
"awesome, i like anything italian really.",0
really!! well that is awesome!,0
what is your ethnic back round? mine is east asian,0
i am also asian.,0
wow we have so many similarities!,0
yeah well this is why we are here to get to know each other.,0
"very true, what are your hobbies? i enjoy crafting.",0
besides movies i also crochet,0
that sounds fun! do you make blankets?,0
i like country. do you like that music?,0
"i do, whats your favorite aside from that?",0
i love celtic as well.,0
where do you work at?,0
i do not work yet. i want to be a singer.,0
that sounds nice. keep practicing,0
i do that every day.,0
good for you! my mom works in the school system,0
awesome. i have a collie dog named tibby.,0
i do not have any pets i want some,0
i love animals. tibby is great.,0
do you live in a big city?,0
no. i live near farms.,0
oh my vestie lives in a huge town,0
hi how are you today?,0
i am good just listening to the radio. spotify radio based on drake. how about you?,0
"awesome watching flash, he is my favorite of the super heros",0
do you enjoy cooking or going out to eat more?,0
"i like both equally i would say, and you?",0
i like both but a dinner i do not have to clean up after is a real treat,0
